emp_no,gender,first_name,last_name,salary,to_date
12112,M,Satyanarayana,Avouris,76538,9999-01-01
12122,F,Satoru,Krone,46398,9999-01-01
12123,F,Xiahua,Syrzycki,64879,9999-01-01
12125,F,Shounak,Erman,41215,9999-01-01
12149,M,Suebskul,Grandbois,109934,9999-01-01
12159,M,Shem,Perly,61210,9999-01-01
11993,M,Marit,Dalphin,56505,9999-01-01
12165,F,Xiaobin,Maquelin,41951,9999-01-01
12183,M,Harngdar,Iisaku,40000,9999-01-01
12192,F,Feiyu,Klyachko,41625,9999-01-01
12205,M,Sushant,Rossi,40000,9999-01-01
12206,F,Barton,Janetzko,40000,9999-01-01
12218,M,Yaghout,Strooper,40000,9999-01-01
12011,F,Zhilian,Coorg,85833,9999-01-01
12411,M,Shao,Ibel,97610,9999-01-01
12221,M,Vincent,Melter,56736,9999-01-01
12222,F,Abdelwaheb,Holburn,55840,9999-01-01
12223,F,Niteen,Koyama,54459,9999-01-01
12247,F,Subbu,Penttonen,59183,9999-01-01
12249,M,Eldridge,Sadowski,70099,9999-01-01
12256,F,Guadalupe,Reghbati,40000,9999-01-01
12264,M,Mart,Pagter,51816,9999-01-01
12270,M,Shakhar,Kornyak,52840,9999-01-01
12272,F,Behnaam,Grandbois,43811,9999-01-01
12413,F,Hugh,Gadepally,53179,9999-01-01
12417,F,Dannz,Spelt,67342,9999-01-01
12422,F,Berhard,Demos,71376,9999-01-01
12308,M,Mototsugu,Cronau,58741,9999-01-01
12311,M,Susanne,Lubachevsky,40000,9999-01-01
12454,F,Kerryn,Farris,41347,9999-01-01
12327,M,DAIDA,Bruckman,67449,9999-01-01
12341,M,Rasiah,Luga,40000,9999-01-01
12343,M,Sorina,Slaats,52134,9999-01-01
12365,M,Kamakshi,Bisiani,40000,9999-01-01
12373,F,Mooi,Driscoll,75986,9999-01-01
12464,F,Shai,Milicic,50448,9999-01-01
12395,M,Sanjit,Felder,66909,9999-01-01
12399,M,Mihalis,Luga,85582,9999-01-01
12475,M,Filipe,Roison,40000,9999-01-01
12487,F,Mona,Reghbati,40000,9999-01-01
12596,M,Breannda,Roisin,40000,9999-01-01
12601,M,Ghassan,Simkin,41714,9999-01-01
12608,M,Nectarios,Mondadori,40000,9999-01-01
12635,F,Xinyu,Restivo,40000,9999-01-01
12638,F,Yuqun,Seiwald,56677,9999-01-01
12642,F,Suebskul,Gips,68271,9999-01-01
12489,F,Arnould,Munck,63306,9999-01-01
12651,M,Pragnesh,Bael,75150,9999-01-01
12490,F,Jackson,Muchinsky,40000,9999-01-01
12662,M,Leucio,Alvarado,69016,9999-01-01
12663,M,Nobuyoshi,Stellhorn,49966,9999-01-01
12664,M,Zhonghua,Parveen,40000,9999-01-01
12689,M,Luerbio,Boudaillier,59689,9999-01-01
12691,M,Oddvar,Gils,48493,9999-01-01
12697,M,Uri,Brizzi,40000,9999-01-01
12709,M,Ronghao,Botman,45510,9999-01-01
12717,F,Tzu,Jiafu,53194,9999-01-01
12722,F,Elliott,Cheshire,62325,9999-01-01
12726,M,Fumitake,Panwar,61177,9999-01-01
12729,F,Nahla,Rahier,51796,9999-01-01
12731,F,Yongmao,Waymire,40000,9999-01-01
12732,M,Mara,Takanami,74436,9999-01-01
12734,M,Gil,Frijda,40000,9999-01-01
12755,F,Rildo,Rodite,40196,9999-01-01
12773,M,Jenwei,Lovengreen,65556,9999-01-01
12497,M,Stein,Penz,81191,9999-01-01
12501,F,Morrie,Matheson,76082,9999-01-01
12504,F,Adly,Rosaz,40000,9999-01-01
12790,F,Gunilla,Perl,87760,9999-01-01
12514,M,Tomofumi,Melter,54241,9999-01-01
12795,M,Masoud,Fordan,56969,9999-01-01
12798,F,Lillian,Beeson,81145,9999-01-01
12803,M,Gad,Boissier,91789,9999-01-01
12815,M,Sushant,Junot,65073,9999-01-01
12819,M,Mountaz,Gubsky,48455,9999-01-01
12848,M,Kazuhide,Smeets,40000,9999-01-01
12528,F,Conor,Cincotta,40000,9999-01-01
12863,M,Leif,Matheson,62803,9999-01-01
12872,F,Marl,Schmittgen,56040,9999-01-01
12879,M,Baruch,Eugenio,40000,9999-01-01
12534,M,Yongmao,Gerlach,66715,9999-01-01
12890,F,Neven,Casley,66803,9999-01-01
12893,M,Licheng,Crouzet,50803,9999-01-01
12895,M,Roddy,Serot,40000,9999-01-01
12905,M,Munehiro,Gecsei,58659,9999-01-01
12541,M,Shih,Nanard,93105,9999-01-01
12542,F,Kazuhide,Bouloucos,44176,9999-01-01
12551,M,Jeane,Tzvieli,40000,9999-01-01
12926,M,Heekeun,Luby,68314,9999-01-01
12553,M,Aral,Vesna,40000,9999-01-01
12940,F,Odinaldo,Farrar,49760,9999-01-01
12941,F,Tommaso,Perelgut,67069,9999-01-01
12949,F,Geoff,Asrin,40000,9999-01-01
12557,M,Stafford,Kopetz,41840,9999-01-01
12589,M,Anoosh,Chleq,59441,9999-01-01
13146,M,Haldon,Erie,61398,9999-01-01
12977,M,Byong,Markovitch,61326,9999-01-01
12983,F,Elliott,Hambrick,57252,9999-01-01
13147,M,Shichao,Ginesta,77429,9999-01-01
13156,M,Akeel,Millington,48285,9999-01-01
13165,F,Lucian,Benner,42796,9999-01-01
13030,M,Yahiko,Kroll,51770,9999-01-01
13168,F,Munir,Stentiford,49210,9999-01-01
13170,M,Cheong,Bernardeschi,49012,9999-01-01
13046,M,Vivian,Stafford,40000,9999-01-01
13047,M,Atilio,Chelton,52323,9999-01-01
13171,M,Anoosh,Birnbaum,40000,9999-01-01
13173,M,Arve,Horswill,46354,9999-01-01
13075,M,Rosella,Morrin,40000,9999-01-01
13076,F,Deniz,Skafidas,50582,9999-01-01
13179,M,Moty,Janocha,90233,9999-01-01
13182,M,Kokou,Rodite,46832,9999-01-01
13096,M,Ibibia,Armand,52544,9999-01-01
13186,M,Kyoichi,Barbanera,93138,9999-01-01
13103,F,Srinidhi,Ellozy,40000,9999-01-01
13192,M,Rosita,Flowers,43986,9999-01-01
13202,F,Aram,Scharstein,51915,9999-01-01
13124,F,Quingbo,Garnick,73785,9999-01-01
13133,M,Guther,Senzako,67777,9999-01-01
13134,M,Lorien,Chepyzhov,51227,9999-01-01
13210,M,Jianhua,Klassen,83961,9999-01-01
13144,M,Persi,Nollmann,52825,9999-01-01
13213,M,Hein,Billawala,61131,9999-01-01
13232,F,Mitchel,Fujisaki,40000,9999-01-01
13332,F,Nidapan,Pearson,40000,9999-01-01
13333,M,Yoshinari,Hennebert,50997,9999-01-01
13341,F,Bodh,Doering,40000,9999-01-01
13343,M,Heon,Usery,40000,9999-01-01
13233,M,Alselm,Chvatal,49414,9999-01-01
13238,F,Ebru,Foote,40000,9999-01-01
13368,M,Kiyokazu,Klassen,52872,9999-01-01
13371,F,Nakhoon,Riexinger,40000,9999-01-01
13373,M,Juichirou,Naumovich,82749,9999-01-01
13240,M,King,Pileggi,49018,9999-01-01
13250,M,Zeydy,Schusler,47829,9999-01-01
13385,M,Claudi,Buchter,40000,9999-01-01
13386,F,Khosrow,Sgarro,91420,9999-01-01
13389,F,Divine,Cmelik,40000,9999-01-01
13392,F,Fumitake,Beidas,69221,9999-01-01
13396,F,Chuanyi,Aumann,40000,9999-01-01
13272,F,Arun,Jiang,40000,9999-01-01
13402,M,Augustine,Dulli,40000,9999-01-01
13405,F,Randy,Baba,60799,9999-01-01
13407,M,Gio,Chenoweth,60348,9999-01-01
13408,M,Sreekrishna,Lagarias,52479,9999-01-01
13415,F,Nathalie,Speer,61838,9999-01-01
13422,F,Vishwani,Gerlach,59466,9999-01-01
13276,M,Yechiam,Seuren,65836,9999-01-01
13288,F,Muneo,Broomell,40000,9999-01-01
13442,M,Giordano,Miake,40000,9999-01-01
13443,M,Mayuko,Puppo,40000,9999-01-01
13445,M,Renee,Dehkordi,53194,9999-01-01
13451,M,Gretta,Weiland,40000,9999-01-01
13457,M,Shooichi,Parfitt,40812,9999-01-01
13458,F,Feipei,Nivat,41375,9999-01-01
13463,F,Theron,Berstel,40000,9999-01-01
13465,M,Sasan,Rehfuss,49821,9999-01-01
13291,M,Georg,Stamatiou,54720,9999-01-01
13302,F,Mack,Alencar,40000,9999-01-01
13493,F,Uinam,Jullig,40000,9999-01-01
13315,F,Sakthirel,Stroustrup,40000,9999-01-01
13504,F,Parto,Mandell,41895,9999-01-01
13704,F,Vishu,Kumaresan,40000,9999-01-01
13524,F,Chaoyi,Porotnikoff,52849,9999-01-01
13535,F,Arunas,Schlenzig,40000,9999-01-01
13721,F,Sugwoo,Delgrossi,64754,9999-01-01
13546,F,Aimee,Brookner,50295,9999-01-01
13549,M,Matk,Koprowski,40000,9999-01-01
13552,M,Ingmar,Capobianchi,73346,9999-01-01
13576,F,Jungsoon,Engberts,73022,9999-01-01
13727,M,Vitali,Merey,50798,9999-01-01
13738,F,Bangqing,Mitchem,48349,9999-01-01
13605,F,Dmitry,Encarnacion,70404,9999-01-01
13766,M,Tremaine,Heemskerk,43748,9999-01-01
13621,M,Fei,Haddadi,73192,9999-01-01
13624,M,Zhigen,Yurek,40000,9999-01-01
13629,M,Dzung,Trelles,40000,9999-01-01
13648,F,Zejun,Lamba,47723,9999-01-01
13653,M,Kristen,Iivonen,53242,9999-01-01
13670,F,Moti,Takanami,40000,9999-01-01
13680,M,Denny,Speer,46968,9999-01-01
13769,F,Yakichi,Trogemann,61025,9999-01-01
13685,F,Weicheng,Hockney,48322,9999-01-01
13697,M,Shuichi,Weedon,40000,9999-01-01
13894,F,Ult,Schonegge,48958,9999-01-01
13904,M,Youngkon,Cairo,73885,9999-01-01
13934,F,Shiv,Bratsberg,46507,9999-01-01
13942,M,Elzbieta,Esteva,40000,9999-01-01
13951,F,Mooi,Genther,82054,9999-01-01
13960,M,Nechama,Hettesheimer,43204,9999-01-01
13962,M,Maris,Ghelli,67965,9999-01-01
13966,F,Boguslaw,Cooman,40000,9999-01-01
13969,F,Jianwen,Chandrasekhar,60392,9999-01-01
13990,F,Deborah,Schapiro,52723,9999-01-01
13992,M,Ulises,Kenevan,81318,9999-01-01
13999,M,Florian,Crouzet,40000,9999-01-01
14005,M,Vojin,Stellhorn,40000,9999-01-01
14015,M,Manibrata,Picaronny,63084,9999-01-01
14034,M,Aloys,Seghrouchni,69700,9999-01-01
14041,F,Shan,DeMori,63235,9999-01-01
14067,M,Godehard,Trachtenberg,44669,9999-01-01
14088,M,Mori,Leslie,44821,9999-01-01
14107,M,Xiahua,Rindone,82396,9999-01-01
14111,F,Leszek,Cummings,52696,9999-01-01
14118,M,Kasturi,Anido,46248,9999-01-01
13775,M,Arve,Maierhofer,70161,9999-01-01
14167,F,Adas,Hertweck,40000,9999-01-01
13786,F,Takushi,Berendt,74494,9999-01-01
14191,F,Jiann,Luby,40155,9999-01-01
13787,F,Xiaobin,Sinicrope,40000,9999-01-01
13792,M,Valery,Sury,59127,9999-01-01
14209,F,Masanao,Kusakabe,40000,9999-01-01
14220,F,Tomofumi,Pargas,68017,9999-01-01
14232,M,Masali,Bojadziev,50568,9999-01-01
14236,F,Xuedong,Angiulli,40000,9999-01-01
14237,F,Abdulla,Gerlach,57219,9999-01-01
13796,M,Paloma,Thorelli,50962,9999-01-01
14242,F,Sudhanshu,Benaini,40000,9999-01-01
13809,M,Kiyotoshi,Basagni,43735,9999-01-01
13815,M,Guadalupe,Plotkin,40000,9999-01-01
14257,F,Kwok,Massonet,40000,9999-01-01
13825,M,Arlette,Pell,54704,9999-01-01
13841,M,Christophe,Spinelli,52277,9999-01-01
14290,M,Miyeon,Olivero,78736,9999-01-01
14292,F,Susanna,Vigier,41846,9999-01-01
14298,F,Chriss,Granlund,40000,9999-01-01
14310,M,Marlo,Leuchs,40000,9999-01-01
14320,M,Sreenivas,Schaar,40000,9999-01-01
14322,M,Shem,Kakkad,50363,9999-01-01
14323,F,Golgen,Leslie,40000,9999-01-01
13842,F,Juichirou,Cichocki,40000,9999-01-01
13846,M,Guiseppe,Welham,61097,9999-01-01
14340,M,Vitaly,Wixon,42858,9999-01-01
14344,F,Otilia,Buescher,41979,9999-01-01
13853,M,Mingsen,Roohalamini,61615,9999-01-01
14354,M,Mong,Bojadziev,40000,9999-01-01
14360,M,Janche,Erbe,43476,9999-01-01
13859,M,Anoosh,Fujisawa,40000,9999-01-01
14372,F,Saniya,Srimani,57667,9999-01-01
13884,M,Kensei,Swift,44785,9999-01-01
14384,F,Tomofumi,Holburn,58260,9999-01-01
14460,F,Yagil,Lueh,56267,9999-01-01
14422,M,Toshimo,Gadepally,59001,9999-01-01
14434,M,Elvis,Maginnis,40000,9999-01-01
14439,M,Raimond,Woycyznski,80654,9999-01-01
14478,F,Munehiro,Boissier,40000,9999-01-01
14632,M,Gudjon,McClurg,40000,9999-01-01
14639,F,Arvind,Hempstead,79405,9999-01-01
14640,M,Toshimori,Kornatzky,42662,9999-01-01
14642,F,Florian,Kuhnemann,54553,9999-01-01
14645,F,Laurentiu,Glinert,45647,9999-01-01
14648,M,IEEE,Lorys,89209,9999-01-01
14659,F,Sashi,Adachi,40926,9999-01-01
14481,M,Moti,Lammel,40000,9999-01-01
14483,M,Supot,Marrevee,40000,9999-01-01
14675,F,Teunis,Angel,40000,9999-01-01
14677,M,Herbert,Sifakis,40000,9999-01-01
14683,M,Alois,Basart,41107,9999-01-01
14486,M,Indrajit,Birdsall,40000,9999-01-01
14690,F,Yechezkel,Bellone,40000,9999-01-01
14693,F,Brewster,Stranks,59960,9999-01-01
14498,M,Xiong,Selenyi,40000,9999-01-01
14710,F,Mahmut,Hainaut,40341,9999-01-01
14723,M,Constantino,Assaf,40000,9999-01-01
14724,M,Aron,Lemarechal,66530,9999-01-01
14501,M,Taizo,Kroft,63646,9999-01-01
14509,M,Danil,Aloia,40000,9999-01-01
14513,M,Samphel,Barreiro,83273,9999-01-01
14515,F,Kazuhisa,Versino,61645,9999-01-01
14780,F,Marlo,Bruckman,51232,9999-01-01
14785,M,Zhonghua,Kaiser,46936,9999-01-01
14516,F,Kristian,Underwood,73262,9999-01-01
14793,M,Stein,Uchoa,47045,9999-01-01
14518,M,Patricia,Peir,64238,9999-01-01
14522,F,Chuanyi,Ranta,40000,9999-01-01
14537,F,Babette,Engelmann,48332,9999-01-01
14814,M,Odysseas,Nishimukai,40000,9999-01-01
14817,M,Gaurav,Masaki,41203,9999-01-01
14821,M,Oguz,Kilgore,42545,9999-01-01
14552,M,Ibibia,Snyers,40000,9999-01-01
14839,M,Changho,Cronin,40000,9999-01-01
14853,F,Taiji,Nergos,58311,9999-01-01
14556,M,Fatemeh,Zultner,40000,9999-01-01
14560,M,Elrique,Driscoll,62770,9999-01-01
14877,M,Arto,Meriste,40000,9999-01-01
14879,M,Anyuan,Sigstam,54322,9999-01-01
14581,F,Gao,Condotta,59499,9999-01-01
14888,F,Temple,Barriga,60916,9999-01-01
14899,M,Alejandro,Casley,64365,9999-01-01
14906,F,Adil,Parveen,54758,9999-01-01
14908,F,Kerhong,Flanders,40000,9999-01-01
14909,M,Mohan,Kamble,40000,9999-01-01
14911,F,Xiaobin,Chelton,62738,9999-01-01
14914,F,Gretta,Benzaken,40000,9999-01-01
14915,M,Huican,Picco,40733,9999-01-01
14582,M,Kiyokazu,Morrin,40000,9999-01-01
14923,M,Shuzo,Gyorkos,40000,9999-01-01
14928,F,Satoru,Mukaidono,53377,9999-01-01
14600,F,Jayson,Cairo,41352,9999-01-01
14941,M,Nathan,Lichtner,43608,9999-01-01
14942,M,Heon,Benveniste,40000,9999-01-01
14949,F,Insup,Reinhart,44930,9999-01-01
14954,F,Fox,Magliocco,43510,9999-01-01
14971,M,Fan,Simmen,55187,9999-01-01
14603,M,Lech,Marquardt,55369,9999-01-01
14983,M,Hyuckchul,Pouyioutas,86754,9999-01-01
14607,M,Suzette,Selvestrel,67813,9999-01-01
14993,M,Sanjay,Koblitz,45407,9999-01-01
14620,F,Jianhua,Erev,53303,9999-01-01
14621,F,Souichi,Wixon,66404,9999-01-01
15193,M,Neelam,Schach,47039,9999-01-01
15005,M,Kiam,Sadowsky,50368,9999-01-01
15016,F,Woody,Gulik,40000,9999-01-01
15018,F,Ramalingam,Prenel,40668,9999-01-01
15019,F,Qingxiang,Shokrollahi,41721,9999-01-01
15029,M,Giordano,Koshino,40000,9999-01-01
15030,M,Rasikan,Nourani,40000,9999-01-01
15036,M,Ziva,Delgrande,40000,9999-01-01
15049,F,Khun,Waymire,40000,9999-01-01
15052,M,Flemming,Kranzdorf,40630,9999-01-01
